Beta,Configuration,Energy,Magnetization
0.1,1,-1992,172
0.1,2,-2040,370
0.1,3,-2044,-38
0.1,4,-2132,-54
0.1,5,-1640,82
0.1,6,-2200,-96
0.1,7,-2156,48
0.1,8,-2192,178
0.1,9,-1956,152
0.1,10,-2096,242
1.1,1,-16276,-946
1.1,2,-16280,458
1.1,3,-16256,924
1.1,4,-16268,-190
1.1,5,-16224,-52
1.1,6,-16240,-1068
1.1,7,-16064,26
1.1,8,-16164,904
1.1,9,-16220,-132
1.1,10,-16192,-1234
2.1,1,-16224,1442
2.1,2,-16428,312
2.1,3,-16604,-76
2.1,4,-16192,-1662
2.1,5,-16432,-1910
2.1,6,-16564,548
2.1,7,-16472,58
2.1,8,-16516,746
2.1,9,-16536,-2010
2.1,10,-16292,112
3.1,1,-16396,88
3.1,2,-16484,-1094
3.1,3,-16332,376
3.1,4,-16424,-582
3.1,5,-16508,-1210
3.1,6,-16444,-436
3.1,7,-16276,1234
3.1,8,-16300,30
3.1,9,-16372,-1434
3.1,10,-16308,-130
4.1,1,-16388,128
4.1,2,-16176,-220
4.1,3,-16564,962
4.1,4,-16260,786
4.1,5,-16484,554
4.1,6,-16196,-488
4.1,7,-16248,-8
4.1,8,-16484,800
4.1,9,-16260,398
4.1,10,-16356,666
5.1,1,-16320,806
5.1,2,-16232,-716
5.1,3,-16316,2046
5.1,4,-16528,-10
5.1,5,-16268,196
5.1,6,-16572,-614
5.1,7,-16472,-244
5.1,8,-16496,-1146
5.1,9,-16332,-398
5.1,10,-16476,42
6.1,1,-16480,-652
6.1,2,-16312,1116
6.1,3,-16528,-66
6.1,4,-16580,-674
6.1,5,-16324,-216
6.1,6,-16448,-730
6.1,7,-16380,784
6.1,8,-16492,-218
6.1,9,-16264,-172
6.1,10,-16428,-878
7.1,1,-16548,1414
7.1,2,-16308,64
7.1,3,-16272,436
7.1,4,-16244,-98
7.1,5,-16424,-312
7.1,6,-16300,1924
7.1,7,-16476,-488
7.1,8,-16240,702
7.1,9,-16132,-200
7.1,10,-16276,-448
8.1,1,-16276,-354
8.1,2,-16340,1296
8.1,3,-16224,128
8.1,4,-16172,436
8.1,5,-16532,-72
8.1,6,-16480,1166
8.1,7,-16408,854
8.1,8,-16316,1176
8.1,9,-16288,-218
8.1,10,-16444,-1012
9.1,1,-16408,-196
9.1,2,-16572,558
9.1,3,-16152,338
9.1,4,-16372,-300
9.1,5,-16352,-46
9.1,6,-16320,-32
9.1,7,-16460,-464
9.1,8,-16360,-246
9.1,9,-16568,1070
9.1,10,-16236,-276
10.1,1,-16480,-1114
10.1,2,-16576,1208
10.1,3,-16300,-1118
10.1,4,-16508,348
10.1,5,-16652,44
10.1,6,-16584,-872
10.1,7,-16552,1286
10.1,8,-16248,-456
10.1,9,-16156,56
10.1,10,-16588,522
